tweet_id,text
339270,"@AskPlayStation Not yet. Just ""cannot connect to the server within the time limit."""
388646,"@AskPlayStation I know the details, I've talked with your support on the phone. They said they're gonna reactivate the account ""soon""."
192150,"@AskPlayStation Plese,open an  account for me.thanks"
1250820,@AskPlayStation I uninstalled and reinstalled 2 times already and it will not load into the app at all I am stuck here at the loading screen https://t.co/sIHFttgZvt
1051736,"@AskPlayStation Give me 10 minutes I'm heading back to my dorm, I will let you know what it exactly says then"
340069,@AskPlayStation Thanks!!
1255521,@AskPlayStation Followed.
2554178,"@AskPlayStation Thank you, how can i completly remove my current ID so i can start up a new one? Kind Regards."
1700590,@AskPlayStation can you STOP mobile restricting my account? (Vue) im CLEARLY at HOME signed into my HOME network!
1281773,"@AskPlayStation 
I have big trouble plz ,I give someone my Emil and pass and he's change everything  what I do now my life in this account."
333766,@AskPlayStation I got error massage but i restarted my ps4 and then it worked
204698,"I enter my code for the Battlefront 2 beta and all it tells me is ""Thanks for redeeming your code"". Can you help? @AskPlayStation"
1841548,@AskPlayStation Best part is Deluxe edition is showing but not my character pass? Excuse me? This is after Licence restore BTW https://t.co/lR1ukjQiNw
12325,@AskPlayStation Can't you only have one primary account per console?
1527554,"@AskPlayStation hey, my PS4 stopped accepting disks for some reason? Nothing in the drive, no making any sound when trying 2 put in disk"
1177686,@AskPlayStation if I have PlayStation plus on my main account and I make a new psn do I have to buy PlayStation plus again
495369,@AskPlayStation ummmm what? Haven’t even asked for any 2 step verification? https://t.co/ecimJtSsib
335105,"@AskPlayStation I will try this, thanks."
2870190,@AskPlayStation Vue Roku channel won’t start- keeps kicking back to the roku home screen what’s going on
2338117,@AskPlayStation why have you randomly taken £49.99 outta my bank account?
935284,@AskPlayStation Si esta como principal y me sigue dando problemas es mas no tengo otra consola ligada a mi cuenta
513768,@AskPlayStation how come i cant watch the football on NFL network
2382736,"@AskPlayStation It’s telling me it isn’t a valid code when I redeem it on the PlayStation store, even though I’ve never used it"
556791,@AskPlayStation I can sign in on the website but still can't sign in to psn on ps4
2481595,"@AskPlayStation so I'm trying to buy fifa 18 with the new sale, its supposed to be $48 but when i check out it gives me a total of $51.83 ?? https://t.co/JR6E0m7ZyG"
2041766,@AskPlayStation Every time I try to delete the corrupted data it says error has occurred (CE-34669-8)
878568,@AskPlayStation @328585 No
2086322,@AskPlayStation hey I was just trying to stream to YouTube and got an error saying the service is temporarily unavailable. (CE-40880-0)
1645779,@502890 @AskPlayStation @115766 @115754 @ATVIAssist K Like this tweet has nothing to do with you 😂
1377244,@AskPlayStation Ok
1540316,@AskPlayStation this error has been in my ps4 so many times since the game began can you please solve it for me https://t.co/OTF1TkE8IF
62787,@AskPlayStation How can he contact you? Is there a phone number the only ones we can find are either closed or 08 which won't let him ring for some reason
2862937,@AskPlayStation Even though I have deleted majority of my save and game data.
184937,@AskPlayStation 2 weeks my account has been it hell and everytime I call or chat(7 times) in with the support line Im ignored by your techs
2099337,@AskPlayStation Hey I have a question.
196368,@AskPlayStation Tried it. Did not work. It's as if I did not even buy the game yet I have the email receipt.
1759329,@AskPlayStation Done 👍🏻 and i send detailed massage to you about my problem exactly .
922525,"@AskPlayStation Re: Vue, new ep of TLC Kindred Spirits (S2 Ep7 The Neighbor) Attempts at playback gets netwk error message. Restart no help."
1004780,@AskPlayStation I followed you.
357483,"@AskPlayStation I live on a campus, and I want someone to guide my network admins on how to make our network NAT Type 2"
1682082,"@AskPlayStation Can't make purchases online. ""Your purchase may not be complete. Check your transaction history in your Account settings."""
399594,@AskPlayStation Ok will try
361857,@AskPlayStation Have tried to reset my password but no email for a couple of hours. How long would this normally take? Thanks.
431837,"@AskPlayStation Ho team, I followed same steps in the link, still cannot access to PS store, there is no issue with router or modem.."
178583,@AskPlayStation The article has any info about how to fix the e-801809a8 on my ps4??? Because I don't care about what it says otherwise...
267457,@AskPlayStation everytime gta V is installing and at 25% it says disk cannot be read what do I do
19323,"@AskPlayStation Did it, the game is still not downloading."
